Episode,Name,Speaker,Quote
S07E24,The Invitations,Jerry,WE HAD A PACT!!!
S08E01,The Foundation,Jerry,Star Trek II.
S08E01,The Foundation,George,"I have mourned for three long months! Summer months, too! Anybody could grieve in January! It's time for George to start being George again."
S08E01,The Foundation,Elaine,"Well, see, it's... businessmen taking siestas. You know, it's the, uh, the Urban Sombrero."
S08E01,The Foundation,George,"I wanna bite into a big hunk of cheese, just bite into it like it's an apple."
S08E01,The Foundation,Jerry,It's Dolores.
S08E01,The Foundation,Jerry,Isn't it Myanmar now?
S08E01,The Foundation,Jerry,"Kramer, you're fighting children?!"
S08E01,The Foundation,Jerry,"He's nine years old! You don't need karate, you can just wring his neck!"
S08E01,The Foundation,George,"Yeah! Look at me! I was free and clear! I was living the dream! I was stripped to the waist, eating a block of cheese the size of a car battery!"
S08E02,The Soul Mate,Wyck,Does anyone think George might have murdered Susan?
S08E02,The Soul Mate,Cross,"Oh, yeah. I just assumed he murdered her."
S08E02,The Soul Mate,Baines,Of course he killed her.
S08E03,The Bizarro Jerry,Jerry,She had man-hands.
S08E03,The Bizarro Jerry,Jerry,So he's Bizarro Jerry!
S08E03,The Bizarro Jerry,Leland,"Kramer, I've.. been reviewing your work.. Quite frankly, it stinks."
S08E03,The Bizarro Jerry,Kramer,I don't even really work here!
S08E04,The Little Kicks,Kramer,"It's the most dangerous part of the sidewalk. Cab hops a curb, wap! You've had your last egg sandwich."
S08E04,The Little Kicks,George,Sweet Fancy Moses!
S08E04,The Little Kicks,George,It was more like a full bodied dry heave set to music.
S08E04,The Little Kicks,Elaine,"Oh really? 'Cause it looks a little big for you. It looks like something a short, stocky, slow-witted, bald man might wear."
S08E05,The Package,Jerry,The timeless art of seduction.
S08E06,The Fatigues,Frank,"Not any more! Gimme that spatula! I'm back, baby!"
S08E06,The Fatigues,Bania,"Aw, it's gold, Jerry! Gold! I got all these corporate gigs and even Cynthia took me back."
S08E06,The Fatigues,George,Ovaltine. Have you ever had this stuff? Why is it called Ovaltine?
S08E06,The Fatigues,George,They should call it round tine. You know what I'm talking about.
S08E07,The Checks,Jerry,You have them sleeping in drawers?!
S08E07,The Checks,Wilhelm,"I'm here to clean the carpets. Most of the world is carpeted. And, one day, we will do the cleaning."
S08E09,The Abstinence,Kramer,Why does Radio Shack ask for your phone number when you buy batteries? I don't know.
S08E09,The Abstinence,Kramer,"Look away, I'm hideous."
S08E09,The Abstinence,George,"Well, Jerry. There was a pretty good chance I was never gonna have sex again anyway."
S08E09,The Abstinence,Jackie,This is the most public yet of my many humiliations.
S08E11,The Little Jerry,Elaine,"Jerry, it's three-thirty in the morning. I'm at a cockfight. What am I clinging to?"
S08E13,The Comeback,Reilly,"Hey George, the ocean called. They're running outta shrimp."
S08E13,The Comeback,George,"Yeah, yeah, yeah. But then, I said to him, 'Oh yeah? Well, the jerk store called, and they're running outta you.'"
S08E13,The Comeback,Jerry,I guess that's a risk you run when you dabble in the flesh trade.
S08E13,The Comeback,George,"Don't you understand? It's not about him. To have a line as perfect as 'jerk store' and to never use it. I, I couldn't live with myself."
S08E13,The Comeback,Reilly,The ocean called. They're running outta shrimp.
S08E13,The Comeback,George,"Yeah? Well, I had sex with your wife."
S08E14,The Van Buren Boys,Steven,I've been telling people that I'd like to be an architect..
S08E14,The Van Buren Boys,Jerry,The Van Buren Boys? There's a street gang named after President Martin Van Buren?
S08E14,The Van Buren Boys,Jerry,"No, I'm being as superficial as I possibly can!"
S08E14,The Van Buren Boys,Jerry,I had a dream last night that a hamburger was eating me!
S08E16,The Pothole,Jerry,You lost Phil Rizzuto's head?!
S08E16,The Pothole,Kramer,Newman! Newman!!
S08E17,The English Patient,Jerry,"I could, but I choose not to."
S08E17,The English Patient,Izzy,It's go time.
S08E19,The Yada Yada,Jerry,I noticed she's big on the phrase 'yada yada.'
S08E19,The Yada Yada,George,Yada yada yada...
S08E19,The Yada Yada,Jerry,But you yada yada'd over the best part.
S08E19,The Yada Yada,Elaine,"No, I mentioned the bisk."
S08E19,The Yada Yada,Kramer,"Oh yeah, and vice versa. Mother Nature's a mad scientist, Jerry."
S08E19,The Yada Yada,Kramer,"Yeah, and you're an anti-dentite."
S08E19,The Yada Yada,Jerry,I am not an anti-dentite!
S08E19,The Yada Yada,Jerry,They do have their own schools!
S08E20,The Millennium,Jerry,"Hello, Newman!"
S08E21,The Muffin Tops,Rebecca,They're just stumps.
S08E22,The Summer of George,George,Severance package...The Yankees are giving me three months full pay for doing nothing.
S08E22,The Summer of George,Jerry,They did it for three years. What's another few months.
S08E22,The Summer of George,George,I'm gonna read a book. From beginning to end. In that order.
S08E22,The Summer of George,Jerry,I've always wanted to do that...
S08E22,The Summer of George,Jerry,Because men think if women are grabbing and clawing at each other there's a chance they might somehow kiss.
S08E22,The Summer of George,George,This was supposed to be 'The summer of George'! The summer of George.
S09E01,The Butter Shave,George,What is Holland?
S09E01,The Butter Shave,George,Then who are the Dutch?
S09E01,The Butter Shave,George,"I love that bathroom. It's got that high, high toilet. I feel like a gargoyle perched on the ledge of a building."
S09E01,The Butter Shave,Kramer,"Stick a fork in me, Jerry. I'm done."
S09E01,The Butter Shave,Elaine,"Oh, please! I took you back. You know it, I know it, Vegetable Lasagna here knows it."
S09E01,The Butter Shave,Jerry,Well it must be comforting to know you'll be going straight to hell at no more than three miles an hour.
S09E01,The Butter Shave,Elaine,Vegetable Lasagna!
S09E01,The Butter Shave,Jerry,"What's the deal with lampshades? I mean if it's a lamp, why do you want shade?"
S09E02,The Voice,Jerry,"Sex, that's meaningless, I can understand that, but dinner; that's heavy. That's like an hour."
S09E03,The Serenity Now,Frank,"If you want the leg room, say you want the leg room! Don't blame the mechanism!"
S09E03,The Serenity Now,Frank,Serenity nowww!
S09E03,The Serenity Now,Frank,Serenity now!
S09E03,The Serenity Now,Frank,Serenity now!
S09E03,The Serenity Now,Lloyd,Serenity now. Insanity later.
S09E05,The Junk Mail,Kramer,"Yeah, I'd like to cancel my mail."
S09E06,The Merv Griffin Show,Jerry,"Course we have a deal. They get out of the way of our cars, we look the other way on the statue defecation."
S09E06,The Merv Griffin Show,Jerry,"Oh, the sex is wild but she's got this incredible toy collection and she won't let me near it!"
S09E06,The Merv Griffin Show,George,"Squirrel? Well, we have no deal with THEM!"
S09E08,The Betrayal,George,"You can stuff you sorries in a sack, mister!"
S09E08,The Betrayal,George,"Oh you can stuff your sorries in a sack, Mister!"
S09E08,The Betrayal,George,"You can stuff your sorries in a sack, mister!"
S09E08,The Betrayal,Jerry,Get outta here.
S09E08,The Betrayal,Susan,"Yeah, you stuff your sorries in a sack, mister."
S09E09,The Apology,Jerry,"But the thing you don't realize is that there's good naked and bad naked. Naked hair brushing, good; naked crouching, bad. Hey, there's Hanke."
S09E09,The Apology,Elaine,Whoa! Walking around naked? Ahh... that is not a good look for a man.
S09E09,The Apology,George,Why not? It's a good look for a woman.
S09E09,The Apology,Elaine,"Well, the female body is a... work of art. The male body is utilitarian, it's for gettin' around, like a jeep."
S09E09,The Apology,Elaine,"It's hideous. The hair, the... the lumpiness. It's simian."
S09E10,The Strike,Jerry,"And instead of a tree, didn't your father put up an aluminum pole?"
S09E10,The Strike,Jerry,And weren't there a feats of strength that always ended up with you crying?
S09E10,The Strike,Jerry,Happy Festivus!
S09E10,The Strike,Kramer,What's Festivus?
S09E10,The Strike,George,Stop it! It's nothing. It's a stupid holiday my father invented. It doesn't exist!
S09E10,The Strike,Elaine,"Happy Festivus, Georgie."
S09E10,The Strike,Frank,"It was destroyed. But out of that, a new holiday was born. 'A Festivus for the rest of us!'"
S09E10,The Strike,George,The Human Fund.
S09E10,The Strike,Frank,"And at the Festivus dinner, you gather your family around, and you tell them all the ways they have disappointed you over the past year."
S09E10,The Strike,Frank,"No. Instead, there's a pole. It requires not decoration. I find tinsel distracting."
S09E10,The Strike,Kramer,"Well, Happy Festivus."
S09E10,The Strike,George,What is that? Is that the pole?!
S09E10,The Strike,Frank,"George, Festivus is your heritage - it's part of who you are."
S09E10,The Strike,Frank,"Alright, George. It's time for the feats of strength."
S09E10,The Strike,Kruger,"George, we have a problem. There's a memo, here, from accounting telling me there's no such thing as the Human Fund."
S09E10,The Strike,George,"Well, sir, I - I gave out the fake card, because, um, I don't really celebrate Christmas. I, um, I celebrate Festivus."
S09E10,The Strike,George,"Festivus, Sir. And, uh, I was afraid that I would be persecuted for my beliefs. They drove my family out of Bayside, Sir!"
S09E10,The Strike,George,"Oh, no, Sir. Festivus is all too real. And.. I could prove it - if I had to."
S09E10,The Strike,Kruger,I find your belief system fascinating.
S09E10,The Strike,Kramer,Another Festivus miracle!
S09E10,The Strike,Frank,"And now as Festivus rolls on, we come to the feats of strength."
S09E10,The Strike,George,Not the feats of strength..
S09E10,The Strike,Frank,"Good thinking, Kruger. Until you pin me, George, Festivus is not over!"
S09E10,The Strike,Frank,"Stop crying, and fight your father!"
S09E11,The Dealership,George,"Oh, no, no. Twix is the only candy with the cookie crunch."
S09E11,The Dealership,George,They all have swirling chocolate in the commercial!
S09E12,The Reverse Peephole (a.k.a. The Man Fur),Jerry,Cheapness is not a sense.
S09E12,The Reverse Peephole (a.k.a. The Man Fur),George,"Because important things go in a case. You got a skull for your brain, a plastic sleeve for your comb, and a wallet for your money."
S09E12,The Reverse Peephole (a.k.a. The Man Fur),Elaine,It's not a purse. It's European.
S09E12,The Reverse Peephole (a.k.a. The Man Fur),Jerry,It's not a purse. It's European!
S09E13,The Cartoon,Elinoff,Well Miss Benes . Cartoons are like gossamer and one doesn't dissect gossamer. heh..hemm..
S09E16,The Burning,Jerry,"Showmanship, George. When you hit that high note, you say goodnight and walk off."
S09E16,The Burning,Puddy,Feels like an Arby's night.
S09E18,The Frogger,Jerry,"Hey, how you gonna keep the machine plugged in while you move it?"
S09E18,The Frogger,George,Slippery Pete?
S09E18,The Frogger,Jerry,She's a sentence finisher. It's like dating Mad Libs.
S09E18,The Frogger,Elaine,A little stale.
S09E18,The Frogger,Lubeck,"No, $2.19. It's an Entenmann's."
S09E18,The Frogger,Jerry,Game over.
S09E19,The Maid,Kramer,"Hey, I'm on first and first. How can the same street intersect with itself? I must be at the nexus of the universe."
